characteristic	income	total
White	$0-10k	935
White	$10-20k	4912
White	$20-40k	24741
White	$40-60k	21444
White	$60-80k	13485
White	$80-100k	7802
White	$100k+	16828
Black	$0-10k	202
Black	$10-20k	1099
Black	$20-40k	5485
Black	$40-60k	3426
Black	$60-80k	1827
Black	$80-100k	853
Black	$100k+	1330
Asian	$0-10k	57
Asian	$10-20k	340
Asian	$20-40k	1674
Asian	$40-60k	1444
Asian	$60-80k	1115
Asian	$80-100k	831
Asian	$100k+	2096
Hispanic	$0-10k	303
Hispanic	$10-20k	2056
Hispanic	$20-40k	8219
Hispanic	$40-60k	4338
Hispanic	$60-80k	2011
Hispanic	$80-100k	1012
Hispanic	$100k+	1473
