characteristic	income	total
White	$0-10k	73
White	$10-20k	497
White	$20-40k	2595
White	$40-60k	2687
White	$60-80k	1632
White	$80-100k	874
White	$100k+	1596
Black	$0-10k	29
Black	$10-20k	79
Black	$20-40k	573
Black	$40-60k	384
Black	$60-80k	238
Black	$80-100k	104
Black	$100k+	203
Asian	$0-10k	6
Asian	$10-20k	21
Asian	$20-40k	105
Asian	$40-60k	94
Asian	$60-80k	60
Asian	$80-100k	35
Asian	$100k+	73
Hispanic	$0-10k	26
Hispanic	$10-20k	134
Hispanic	$20-40k	611
Hispanic	$40-60k	399
Hispanic	$60-80k	205
Hispanic	$80-100k	106
Hispanic	$100k+	127
