characteristic	income	total
White	$0-10k	559
White	$10-20k	2291
White	$20-40k	12831
White	$40-60k	13071
White	$60-80k	9124
White	$80-100k	5574
White	$100k+	12936
Black	$0-10k	55
Black	$10-20k	280
Black	$20-40k	1959
Black	$40-60k	1672
Black	$60-80k	928
Black	$80-100k	481
Black	$100k+	783
Asian	$0-10k	47
Asian	$10-20k	206
Asian	$20-40k	1090
Asian	$40-60k	952
Asian	$60-80k	717
Asian	$80-100k	609
Asian	$100k+	1621
Hispanic	$0-10k	164
Hispanic	$10-20k	982
Hispanic	$20-40k	4264
Hispanic	$40-60k	2643
Hispanic	$60-80k	1261
Hispanic	$80-100k	664
Hispanic	$100k+	1080
