characteristic	income	total
White	$0-10k	291
White	$10-20k	2039
White	$20-40k	8926
White	$40-60k	5296
White	$60-80k	2512
White	$80-100k	1202
White	$100k+	2066
Black	$0-10k	117
Black	$10-20k	718
Black	$20-40k	2821
Black	$40-60k	1315
Black	$60-80k	621
Black	$80-100k	249
Black	$100k+	318
Asian	$0-10k	5
Asian	$10-20k	98
Asian	$20-40k	451
Asian	$40-60k	382
Asian	$60-80k	328
Asian	$80-100k	184
Asian	$100k+	386
Hispanic	$0-10k	112
Hispanic	$10-20k	916
Hispanic	$20-40k	3256
Hispanic	$40-60k	1249
Hispanic	$60-80k	531
Hispanic	$80-100k	226
Hispanic	$100k+	248
