characteristic	income	total
White	$0-10k	11
White	$10-20k	85
White	$20-40k	386
White	$40-60k	389
White	$60-80k	218
White	$80-100k	152
White	$100k+	231
Black	$0-10k	2
Black	$10-20k	21
Black	$20-40k	132
Black	$40-60k	55
Black	$60-80k	40
Black	$80-100k	20
Black	$100k+	27
Asian	$0-10k	0
Asian	$10-20k	14
Asian	$20-40k	27
Asian	$40-60k	12
Asian	$60-80k	10
Asian	$80-100k	5
Asian	$100k+	16
Hispanic	$0-10k	1
Hispanic	$10-20k	24
Hispanic	$20-40k	89
Hispanic	$40-60k	46
Hispanic	$60-80k	16
Hispanic	$80-100k	16
Hispanic	$100k+	18
