characteristic	income	total
Single	$0-10k	9
Single	$10-20k	109
Single	$20-40k	549
Single	$40-60k	440
Single	$60-80k	349
Single	$80-100k	198
Single	$100k+	407
Married	$0-10k	48
Married	$10-20k	206
Married	$20-40k	1133
Married	$40-60k	1003
Married	$60-80k	744
Married	$80-100k	639
Married	$100k+	1677
Widowed	$0-10k	0
Widowed	$10-20k	14
Widowed	$20-40k	27
Widowed	$40-60k	12
Widowed	$60-80k	12
Widowed	$80-100k	5
Widowed	$100k+	16
Divorced	$0-10k	6
Divorced	$10-20k	21
Divorced	$20-40k	110
Divorced	$40-60k	108
Divorced	$60-80k	67
Divorced	$80-100k	38
Divorced	$100k+	78
