characteristic	income	total
Single	$0-10k	123
Single	$10-20k	744
Single	$20-40k	2987
Single	$40-60k	1400
Single	$60-80k	641
Single	$80-100k	265
Single	$100k+	331
Married	$0-10k	64
Married	$10-20k	299
Married	$20-40k	2077
Married	$40-60k	1764
Married	$60-80k	990
Married	$80-100k	513
Married	$100k+	827
Widowed	$0-10k	2
Widowed	$10-20k	21
Widowed	$20-40k	132
Widowed	$40-60k	55
Widowed	$60-80k	45
Widowed	$80-100k	20
Widowed	$100k+	27
Divorced	$0-10k	29
Divorced	$10-20k	82
Divorced	$20-40k	591
Divorced	$40-60k	393
Divorced	$60-80k	247
Divorced	$80-100k	106
Divorced	$100k+	218
