characteristic	income	total
Single	$0-10k	316
Single	$10-20k	2108
Single	$20-40k	9284
Single	$40-60k	5469
Single	$60-80k	2547
Single	$80-100k	1243
Single	$100k+	2108
Married	$0-10k	572
Married	$10-20k	2324
Married	$20-40k	13099
Married	$40-60k	13277
Married	$60-80k	9259
Married	$80-100k	5654
Married	$100k+	13086
Widowed	$0-10k	13
Widowed	$10-20k	87
Widowed	$20-40k	398
Widowed	$40-60k	395
Widowed	$60-80k	226
Widowed	$80-100k	152
Widowed	$100k+	237
Divorced	$0-10k	76
Divorced	$10-20k	506
Divorced	$20-40k	2650
Divorced	$40-60k	2739
Divorced	$60-80k	1654
Divorced	$80-100k	889
Divorced	$100k+	1609
