characteristic	income	total
Single	$0-10k	291
Single	$10-20k	2039
Single	$20-40k	8926
Single	$40-60k	5296
Single	$60-80k	2512
Single	$80-100k	1202
Single	$100k+	2066
Married	$0-10k	559
Married	$10-20k	2291
Married	$20-40k	12831
Married	$40-60k	13071
Married	$60-80k	9124
Married	$80-100k	5574
Married	$100k+	12936
Widowed	$0-10k	11
Widowed	$10-20k	85
Widowed	$20-40k	386
Widowed	$40-60k	389
Widowed	$60-80k	218
Widowed	$80-100k	152
Widowed	$100k+	231
Divorced	$0-10k	73
Divorced	$10-20k	497
Divorced	$20-40k	2595
Divorced	$40-60k	2687
Divorced	$60-80k	1632
Divorced	$80-100k	874
Divorced	$100k+	1596
